file,sound,param,value,attack_ms,band_air_share,band_high_share,band_low_share,band_lowmid_share,band_mid_share,band_sub_share,centroid_slope_hz_per_ms,crest_factor_db,decay_ms,duration_s,f0_hz,f0_hz_at_100ms,f0_hz_at_30ms,f0_hz_at_5ms,f0_voiced_confidence,harmonic_percussive_ratio,loudness_a_db,peak_db,rise_10_90_ms,rms_db,spectral_bandwidth,spectral_centroid_hz,spectral_centroid_hz_100ms,spectral_flatness,spectral_flux_mean,spectral_rolloff_85,t60_estimate_ms,zero_crossing_rate,decay20_ms,decay40_ms,sustain_share
library/real/wav/clap__real__0001.wav,clap,real,0001,25.96371882086168,0.01814852279029323,0.2965608324266182,0.00013073163388421146,0.002164832950678382,0.6829168849447844,7.819525374153982e-05,-0.7103630393027426,18.910724358431825,0.13605442176870747,0.04970521541950113,nan,nan,nan,nan,0.010007321816012413,0.011115049600663382,-19.519262687322147,-0.9998544876801003,13.26530612244898,-19.910578846111925,3676.0575712736845,3018.343496036269,3119.745150160146,0.005219232571379218,0.5873055638149144,5201.6143798828125,334.54963735603565,0.070465087890625,34,150,0.03671
library/real/wav/clap__real__0002.wav,clap,real,0002,18.707482993197278,0.21496544303573475,0.24561804015386177,0.0003082793372210314,0.0027555165012285183,0.5361916538305399,0.00016106714141409247,32.271385132319686,22.779945773172084,0.06802721088435373,0.02197278911564626,nan,nan,nan,nan,0.006844074964328855,0.008476795794829052,-23.941809953691404,-1.000151903819357,18.68480725623583,-23.780097676991442,6004.981971264762,10269.937802886787,5719.0556488754655,0.0850735898260172,0.2972927930663507,15751.5380859375,333.7496297683545,0.37015573601973684,32,132,0.03807
library/real/wav/clap__real__0003.wav,clap,real,0003,11.26984126984127,0.14298508265122903,0.24555850796128256,0.0001620164616503604,0.003000687088025701,0.6082072741572416,8.643168057074704e-05,42.66591237764545,21.26664432065508,0.06802721088435373,0.014943310657596371,nan,nan,nan,nan,0.008524268437890585,0.009356839188405444,-22.41211301333328,-1.000151903819357,11.26984126984127,-22.266796224474437,5442.5950613737205,7764.043434875645,5000.480386972255,0.06053918367194826,0.4008604233255135,12577.783203125,365.4433260492566,0.23618344907407407,38,152,0.03648
library/real/wav/clap__real__0004.wav,clap,real,0004,5.442176870748299,0.025052162707868628,0.4179336142015521,0.005909825707417759,0.00714681674301976,0.5419058267034083,0.002051753936733425,19.474147222910243,14.424283185554245,1.179138321995465,0.015941043083900226,nan,nan,nan,nan,0.009738988705977432,0.00021578044708706954,-15.43750790289347,-1.000151903819357,2.0861678004535147,-15.424435089373603,7052.839949274733,6527.714869208917,6045.787536558402,0.025702816056025302,0.25557883027045974,17484.9609375,18.925496858390645,0.18046875,10,22,0.0002148
library/real/wav/clap__real__0005.wav,clap,real,0005,9.81859410430839,0.02702106905808863,0.43434504400771345,0.0010033637271163322,0.0033375340774234826,0.5327155952851782,0.0015773938444800597,16.500947626816874,13.233524290366066,0.6122448979591837,0.03013605442176871,nan,nan,nan,nan,0.009905541243850322,0.0008790856513248112,-14.0938489845765,-1.000151903819357,5.396825396825397,-14.233676194185422,6305.430311063791,5221.360575702272,3942.599353090179,0.013221267152322665,0.5173191142507283,14333.179995888158,124.7203176098877,0.0962171052631579,22,68,0.0108
library/real/wav/clap__real__0006.wav,clap,real,0006,21.99546485260771,0.020963066128961757,0.37894562760791456,0.001553907815282066,0.0034847462938004713,0.5931518819689525,0.001900770185088606,19.14294019524813,12.55573840374953,0.47619047619047616,0.038140589569161,861.0779292198037,nan,nan,nan,0.011535603183849419,0.0012535721861810282,-13.428955426495147,-1.000151903819357,2.562358276643991,-13.555890307568887,5870.302836223449,4934.996838859156,3254.0682203563556,0.013907752416478594,0.5377020303284881,12872.548828125,154.91147773566257,0.0864013671875,42,94,0.06443
library/real/wav/clap__real__0007.wav,clap,real,0007,6.598639455782313,0.019826009692750605,0.41466735348120287,0.0018652555781746819,0.004228925287790791,0.5575384026974777,0.001874053262603348,20.272077801766017,12.919287845691548,0.7256235827664399,0.025328798185941043,nan,nan,nan,nan,0.009023426007874587,0.010996870549599514,-13.871435332312902,-0.9998544876801003,2.562358276643991,-13.919142333371648,5867.140199628624,4912.902108156241,3160.7495131088926,0.013462118331361938,0.4139915299567211,12848.8623046875,173.43795851340505,0.09404296875,22,98,0.02169
library/real/wav/clap__real__0008.wav,clap,real,0008,8.480725623582767,0.03480875500863956,0.31475884702921775,0.0010232923384413182,0.0025218561726290827,0.6450476602539833,0.0018395891970889363,12.29110454816901,12.841968467324548,0.45351473922902497,0.015532879818594105,nan,nan,nan,nan,0.009927775691611618,0.08067995688629692,-13.704112404826317,-1.000151903819357,5.170068027210885,-13.842120371143904,5481.829023487858,4395.8437795404325,3390.802238650067,0.011988240581851207,0.607821623689927,10883.62984035326,227.09580857572777,0.061990489130434784,24,112,0.1173
library/real/wav/clap__real__0009.wav,clap,real,0009,24.467120181405896,0.02733638137444723,0.3054864635949682,0.0014159849382620418,0.0030206771898745365,0.6606868154988771,0.0020536774035709165,11.931488363215518,12.541345416858118,0.09070294784580499,0.041700680272108846,nan,nan,nan,nan,0.008266820043749167,0.043931702805429705,-13.410252338875296,-1.000151903819357,3.038548752834467,-13.541497320677475,5342.33670169361,4202.253640969779,3226.594861841514,0.010504047420963183,0.6199326375943739,10497.904636548914,205.49047320253965,0.06317934782608696,28,114,0.1724
library/real/wav/clap__real__0010.wav,clap,real,0010,6.054421768707483,0.021254195906445426,0.36511283166399144,0.0012027438473150745,0.002835749782456307,0.6078825760832073,0.0017119027165845237,0.4198250004473402,12.195165702355013,0.20408163265306123,0.024671201814058956,32.84939302221568,nan,nan,nan,0.010017300715823862,0.3207221452717639,-13.067526877793966,-1.000151903819357,2.3356009070294785,-13.195317606174369,4105.173684643723,3051.904792987112,3508.6973478285586,0.00581865803789051,0.7440297682535069,6010.733768857759,477.21812526233555,0.05659011314655173,20,176,0.3065
library/real/wav/clap__real__0011.wav,clap,real,0011,15.578231292517007,0.01931413184482758,0.3729459948759325,0.0008256193662256306,0.002579367628787795,0.6029189653445244,0.0014159209397020974,0.5500879679893813,12.265918083304634,0.11337868480725624,0.02328798185941043,nan,nan,nan,nan,0.00978036975710621,0.2974195551092191,-13.135621449859416,-1.000151903819357,4.829931972789116,-13.266069987123991,4013.478419566364,3062.313639845868,3586.5672453829065,0.006874550023108816,0.8533064493601472,6127.119140625,539.6796723336082,0.05234375,26,216,0.4187
library/real/wav/clap__real__0012.wav,clap,real,0012,26.167800453514737,0.019074114351457314,0.3687068172873093,0.001065637870551658,0.0026565447842735257,0.6071656510427915,0.0013312346636168578,-0.5892423079651518,12.22971016951914,0.6802721088435374,0.04659863945578231,32.7479645438968,33.12847756292408,33.513411930260055,nan,0.00993366236373249,0.7462584210127785,-13.119496449206402,-1.000151903819357,4.240362811791384,-13.229862073338499,3632.750575201645,2777.5834902409506,3766.5190113037906,0.004742004602340823,1.1450791272226712,5615.416044347427,1091.7309945130507,0.05255485983455882,24,410,0.7331
library/real/wav/clap__real__0013.wav,clap,real,0013,20.0,0.021551543039603976,0.3640583918205393,0.0010058841920452476,0.00245116882995672,0.609594914665652,0.0013380974522027903,-0.022037172619020263,12.252256903569856,0.5215419501133787,0.020521541950113378,32.18537411417131,nan,nan,nan,0.009943060907686763,0.8979454289375725,-13.125311968139265,-0.9998544876801003,16.077097505668934,-13.252111391249956,3748.5041917275676,2881.496335558964,3892.256779992214,0.0052461566574079814,1.1438577078456211,5909.502963362069,1362.8419104867974,0.052571614583333336,60,480,0.7818
library/real/wav/clap__real__0014.wav,clap,real,0014,8.820861678004535,0.045683730306040074,0.37184369368172093,0.002777054119574366,0.011287943828014624,0.5606387620290316,0.007768816035618341,44.407010432726764,12.775921049807813,0.09070294784580499,0.02761904761904762,nan,nan,nan,nan,0.010015601612244105,0.002028476338466106,-13.36437613149884,-1.000151903819357,1.927437641723356,-13.77607295362717,5812.45729171622,5090.390299005446,5090.390299005446,0.016228493931222346,0.43942740899329363,12715.3564453125,119.03214930276191,0.079833984375,10,46,0.000308
