artist,title,year,page_url,download_url,licence,bpm,source,match_score,item
Combat Killer,Global Function,2018,https://archive.org/details/fressen004-combat-killer-kill-em-all-ep,https://archive.org/download/fressen004-combat-killer-kill-em-all-ep/%28Fressen004%29%2002.%20Combat%20Killer%20-%20Global%20Function_Kill%20Em%20All%20EP.flac,https://creativecommons.org/licenses/by-nc-nd/4.0/,,Fresscode Records,0.95,fressen004-combat-killer-kill-em-all-ep
Combat Killer,Kalibrator,2018,https://archive.org/details/fressen004-combat-killer-kill-em-all-ep,https://archive.org/download/fressen004-combat-killer-kill-em-all-ep/%28Fressen004%29%2003.%20Combat%20Killer%20-%20Kalibrator_Kill%20Em%20All%20EP.flac,https://creativecommons.org/licenses/by-nc-nd/4.0/,,Fresscode Records,0.95,fressen004-combat-killer-kill-em-all-ep
Sol 1,The Truth,2022,https://archive.org/details/fressen012-sol-1-free-fall-ep,https://archive.org/download/fressen012-sol-1-free-fall-ep/%28Fressen012%29%2001.%20Sol%201%20-%20The%20Truth_Free%20Fall%20EP.flac,https://creativecommons.org/licenses/by-nc-nd/4.0/,,Fresscode Records,0.95,fressen012-sol-1-free-fall-ep
Pakistan Techno Force,Bugs In Space,2024,https://archive.org/details/fressen017-pakistan-techno-force-bugs-in-space-ep_202407,https://archive.org/download/fressen017-pakistan-techno-force-bugs-in-space-ep_202407/%28Fressen017%29%2003.%20Pakistan%20Techno%20Force%20-%20Radomise_Bugs%20In%20Space%20EP.flac,https://creativecommons.org/licenses/by-nc-nd/4.0/,,Fresscode Records,0.95,fressen017-pakistan-techno-force-bugs-in-space-ep_202407
THE D3VI7,Temple (Hanzzo Remix),2020,https://archive.org/details/dfs004-the-d3vi7-temple-ep,https://archive.org/download/dfs004-the-d3vi7-temple-ep/%28DFS%20004%29%2003.%20THE%20D3VI7%20-%20Temple%20%28Hanzzo%20Remix%29_Temple%20EP.flac,https://creativecommons.org/licenses/by-nc-nd/4.0/,,Dancefloor Socialism,0.95,dfs004-the-d3vi7-temple-ep
THE D3VI7,Technological Crime,2023,https://archive.org/details/dfs021-various-netlabel-day-2023-techno-warriors,https://archive.org/download/dfs021-various-netlabel-day-2023-techno-warriors/%28DFS021%29%2006.%20THE%20D3VI7%20-%20Technological%20Crime_Netlabel%20Day%202023%20Techno%20Warriors.flac,https://creativecommons.org/licenses/by-nc-nd/4.0/,,Dancefloor Socialism,0.95,dfs021-various-netlabel-day-2023-techno-warriors
Jerzz,Aurora Borealis,2025,https://archive.org/details/dfs033-various-netlabel-day-2025-techno-warriors,https://archive.org/download/dfs033-various-netlabel-day-2025-techno-warriors/%28DFS033%29%2004.%20Jerzz%20-%20Aurora%20Borealis_Netlabel%20Day%202025%20Techno%20Warriors.flac,https://creativecommons.org/licenses/by-nc-nd/4.0/,,Dancefloor Socialism,0.95,dfs033-various-netlabel-day-2025-techno-warriors
AFFLICTED,Natural Desaster,2025,https://archive.org/details/dfs033-various-netlabel-day-2025-techno-warriors,https://archive.org/download/dfs033-various-netlabel-day-2025-techno-warriors/%28DFS033%29%2007.%20AFFLICTED%20-%20Natural%20Desaster_Netlabel%20Day%202025%20Techno%20Warriors.flac,https://creativecommons.org/licenses/by-nc-nd/4.0/,,Dancefloor Socialism,0.95,dfs033-various-netlabel-day-2025-techno-warriors
Stanley Hottek,Hardwired,2025,https://archive.org/details/dfs033-various-netlabel-day-2025-techno-warriors,https://archive.org/download/dfs033-various-netlabel-day-2025-techno-warriors/%28DFS033%29%2006.%20Stanley%20Hottek%20-%20Hardwired_Netlabel%20Day%202025%20Techno%20Warriors.flac,https://creativecommons.org/licenses/by-nc-nd/4.0/,,Dancefloor Socialism,0.95,dfs033-various-netlabel-day-2025-techno-warriors
Cement Tea,Chip Withdrawal (Bonus Sodium),2023,https://archive.org/details/p109-cement-tea-chip-withdrawal,https://archive.org/download/p109-cement-tea-chip-withdrawal/%28P109%29%2002.%20Cement%20Tea%20-%20Chip%20Withdrawal%20%28Bonus%20Sodium%29_Chip%20Withdrawal.flac,https://creativecommons.org/licenses/by-nc-nd/4.0/,,Psychocandies,0.95,p109-cement-tea-chip-withdrawal
