file,role,source_item,source_file,licence,source_url
wav/impact__real__0001.wav,impact,HeatDish,CasioSA-75-Cymbal 2.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/impact__real__0002.wav,impact,HeatDish,CasioSA-75-Cymbal.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/impact__real__0003.wav,impact,HeatDish,Cymbal-52.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/hat_closed__real__0001.wav,hat_closed,HeatDish,Hihat-52.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/hat_closed__real__0002.wav,hat_closed,HeatDish,beat box-hihat.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/hat_closed__real__0003.wav,hat_closed,HeatDish,cl hihat-4_11_2015.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/hat_closed__real__0004.wav,hat_closed,HeatDish,portasound-cl-hihat.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/hat_closed__real__0005.wav,hat_closed,HeatDish,portasound-hatopen.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/kick__real__0001.wav,kick,HeatDish,CasioSA-75-Kick.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/kick__real__0002.wav,kick,HeatDish,CasioSA-75-Kick2.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/kick__real__0003.wav,kick,HeatDish,Kick 1.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/kick__real__0004.wav,kick,HeatDish,Kick 2.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/kick__real__0005.wav,kick,HeatDish,Kick 3.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/kick__real__0006.wav,kick,HeatDish,Kick-52.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/kick__real__0007.wav,kick,HeatDish,LowSineKick-4_12_2015.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/kick__real__0008.wav,kick,HeatDish,beat box-Kick.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/kick__real__0009.wav,kick,HeatDish,portasound-kick.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/kick__real__0010.wav,kick,HeatDish,sine kick.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/kick__real__0011.wav,kick,HeatDish,sine kick2-4_11_2015.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/perc__real__0001.wav,perc,HeatDish,CasioSA-75-Snare.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/perc__real__0002.wav,perc,HeatDish,CasioSA-75-Snare2.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
