file,role,settings
wav/kick__lib__0001.wav,kick,pitch_start_hz=185.6;pitch_end_hz=51.3;pitch_decay_ms=29.32;amp_decay_ms=162.5;click_ms=3.408;click_level=0.1719;drive=0.2675;length_ms=500;seed=1
wav/kick__lib__0002.wav,kick,pitch_start_hz=234.3;pitch_end_hz=49.9;pitch_decay_ms=61.77;amp_decay_ms=516.2;click_ms=1.866;click_level=0.1709;drive=0.9348;length_ms=500;seed=2
wav/kick__lib__0003.wav,kick,pitch_start_hz=215.4;pitch_end_hz=42.57;pitch_decay_ms=17.67;amp_decay_ms=365.2;click_ms=4.089;click_level=0.8089;drive=0.926;length_ms=500;seed=3
wav/kick__lib__0004.wav,kick,pitch_start_hz=128.4;pitch_end_hz=53.88;pitch_decay_ms=28.03;amp_decay_ms=113.8;click_ms=2.101;click_level=0.3431;drive=0.305;length_ms=500;seed=4
wav/kick__lib__0005.wav,kick,pitch_start_hz=283.2;pitch_end_hz=53.97;pitch_decay_ms=15.55;amp_decay_ms=212.6;click_ms=4.966;click_level=0.1336;drive=0.05636;length_ms=500;seed=5
wav/kick__lib__0006.wav,kick,pitch_start_hz=150.8;pitch_end_hz=46.34;pitch_decay_ms=55.58;amp_decay_ms=112;click_ms=2.997;click_level=0.5028;drive=0.002744;length_ms=500;seed=6
wav/kick__lib__0007.wav,kick,pitch_start_hz=148.3;pitch_end_hz=36.45;pitch_decay_ms=35.23;amp_decay_ms=669.1;click_ms=4.484;click_level=0.7707;drive=0.5171;length_ms=500;seed=7
wav/kick__lib__0008.wav,kick,pitch_start_hz=161;pitch_end_hz=51.32;pitch_decay_ms=48.35;amp_decay_ms=733.5;click_ms=5.407;click_level=0.4677;drive=0.1978;length_ms=500;seed=8
wav/kick__lib__0009.wav,kick,pitch_start_hz=148.5;pitch_end_hz=57.56;pitch_decay_ms=17.03;amp_decay_ms=156.5;click_ms=1.793;click_level=0.5924;drive=0.4909;length_ms=500;seed=9
wav/kick__lib__0010.wav,kick,pitch_start_hz=251.4;pitch_end_hz=40.12;pitch_decay_ms=77.09;amp_decay_ms=233.8;click_ms=2.994;click_level=0.2469;drive=0.3066;length_ms=500;seed=10
wav/kick__lib__0011.wav,kick,pitch_start_hz=206.4;pitch_end_hz=46.65;pitch_decay_ms=13.88;amp_decay_ms=132.9;click_ms=0.8656;click_level=0.637;drive=0.8631;length_ms=500;seed=11
wav/kick__lib__0012.wav,kick,pitch_start_hz=164.7;pitch_end_hz=48.58;pitch_decay_ms=18.99;amp_decay_ms=420.6;click_ms=5.371;click_level=0.8419;drive=0.1835;length_ms=500;seed=12
wav/kick__lib__0013.wav,kick,pitch_start_hz=287.9;pitch_end_hz=53.22;pitch_decay_ms=48.92;amp_decay_ms=253.1;click_ms=3.91;click_level=0.4767;drive=0.6269;length_ms=500;seed=13
wav/kick__lib__0014.wav,kick,pitch_start_hz=245;pitch_end_hz=38.57;pitch_decay_ms=62.08;amp_decay_ms=427.6;click_ms=2.412;click_level=0.3735;drive=0.2618;length_ms=500;seed=14
wav/kick__lib__0015.wav,kick,pitch_start_hz=175.1;pitch_end_hz=46.89;pitch_decay_ms=14.73;amp_decay_ms=326.6;click_ms=1.705;click_level=0.345;drive=0.7614;length_ms=500;seed=15
wav/kick__lib__0016.wav,kick,pitch_start_hz=273.5;pitch_end_hz=44.05;pitch_decay_ms=16.03;amp_decay_ms=388.3;click_ms=1.882;click_level=0.797;drive=0.1638;length_ms=500;seed=16
wav/kick__lib__0017.wav,kick,pitch_start_hz=166;pitch_end_hz=47.74;pitch_decay_ms=15.5;amp_decay_ms=314.6;click_ms=1.624;click_level=0.7002;drive=0.5191;length_ms=500;seed=17
wav/kick__lib__0018.wav,kick,pitch_start_hz=208.1;pitch_end_hz=36.87;pitch_decay_ms=73.61;amp_decay_ms=161.3;click_ms=2.059;click_level=0.3266;drive=0.4209;length_ms=500;seed=18
wav/kick__lib__0019.wav,kick,pitch_start_hz=167.7;pitch_end_hz=36.33;pitch_decay_ms=27.48;amp_decay_ms=152.8;click_ms=2.485;click_level=0.6117;drive=0.649;length_ms=500;seed=19
wav/kick__lib__0020.wav,kick,pitch_start_hz=119.1;pitch_end_hz=37.3;pitch_decay_ms=34.75;amp_decay_ms=139.1;click_ms=4.741;click_level=0.4528;drive=0.5605;length_ms=500;seed=20
wav/kick__lib__0021.wav,kick,pitch_start_hz=217.4;pitch_end_hz=52.93;pitch_decay_ms=50.02;amp_decay_ms=337;click_ms=3.083;click_level=0.5598;drive=0.5577;length_ms=500;seed=21
wav/kick__lib__0022.wav,kick,pitch_start_hz=125.1;pitch_end_hz=56.95;pitch_decay_ms=67.52;amp_decay_ms=229.5;click_ms=3.416;click_level=0.6029;drive=0.3574;length_ms=500;seed=22
wav/kick__lib__0023.wav,kick,pitch_start_hz=159.9;pitch_end_hz=58.8;pitch_decay_ms=43.06;amp_decay_ms=146.2;click_ms=3.747;click_level=0.5034;drive=0.5299;length_ms=500;seed=23
wav/kick__lib__0024.wav,kick,pitch_start_hz=245.9;pitch_end_hz=40.31;pitch_decay_ms=75.25;amp_decay_ms=125.6;click_ms=4.15;click_level=0.3376;drive=0.391;length_ms=500;seed=24
