file,job,param,value,source_file,source_item,licence,source_url
kick__decay_ms__60.wav,kick,decay_ms,60,kick__real__0086.wav,TamTamDrumKits,CC BY 3.0,https://archive.org/details/TamTamDrumKits
kick__decay_ms__120.wav,kick,decay_ms,120,kick__real__0086.wav,TamTamDrumKits,CC BY 3.0,https://archive.org/details/TamTamDrumKits
kick__decay_ms__240.wav,kick,decay_ms,240,kick__real__0086.wav,TamTamDrumKits,CC BY 3.0,https://archive.org/details/TamTamDrumKits
kick__decay_ms__480.wav,kick,decay_ms,480,kick__real__0086.wav,TamTamDrumKits,CC BY 3.0,https://archive.org/details/TamTamDrumKits
kick__drive__0.0.wav,kick,drive,0.0,kick__real__0086.wav,TamTamDrumKits,CC BY 3.0,https://archive.org/details/TamTamDrumKits
kick__drive__0.35.wav,kick,drive,0.35,kick__real__0086.wav,TamTamDrumKits,CC BY 3.0,https://archive.org/details/TamTamDrumKits
kick__drive__0.7.wav,kick,drive,0.7,kick__real__0086.wav,TamTamDrumKits,CC BY 3.0,https://archive.org/details/TamTamDrumKits
kick__pitch_st__-5.wav,kick,pitch_st,-5,kick__real__0086.wav,TamTamDrumKits,CC BY 3.0,https://archive.org/details/TamTamDrumKits
kick__pitch_st__0.wav,kick,pitch_st,0,kick__real__0086.wav,TamTamDrumKits,CC BY 3.0,https://archive.org/details/TamTamDrumKits
kick__pitch_st__5.wav,kick,pitch_st,5,kick__real__0086.wav,TamTamDrumKits,CC BY 3.0,https://archive.org/details/TamTamDrumKits
rumble__decay_ms__200.wav,rumble,decay_ms,200,rumble__real__0003.wav,ejay-virtual-music-studio-samples,CC0 1.0,https://archive.org/details/ejay-virtual-music-studio-samples
rumble__decay_ms__500.wav,rumble,decay_ms,500,rumble__real__0003.wav,ejay-virtual-music-studio-samples,CC0 1.0,https://archive.org/details/ejay-virtual-music-studio-samples
rumble__decay_ms__1000.wav,rumble,decay_ms,1000,rumble__real__0003.wav,ejay-virtual-music-studio-samples,CC0 1.0,https://archive.org/details/ejay-virtual-music-studio-samples
rumble__lowpass_hz__90.wav,rumble,lowpass_hz,90,rumble__real__0003.wav,ejay-virtual-music-studio-samples,CC0 1.0,https://archive.org/details/ejay-virtual-music-studio-samples
rumble__lowpass_hz__160.wav,rumble,lowpass_hz,160,rumble__real__0003.wav,ejay-virtual-music-studio-samples,CC0 1.0,https://archive.org/details/ejay-virtual-music-studio-samples
