"value_set","value_read","crest_db","sub_share","low_share","mid_share","high_share","air_share","peak_dbfs","rms_dbfs","wav"
"0.0","0.0","7.4641","0.9013","0.0861","0.0123","0.0004","0.0","-1.8721","-9.3362","compressor_attack__0.000000.wav"
"0.08333333333333333","0.0833333358168602","7.4402","0.9019","0.0856","0.0121","0.0004","0.0","-1.8916","-9.3318","compressor_attack__0.083333.wav"
"0.16666666666666666","0.1666666716337204","7.4572","0.9019","0.0855","0.0121","0.0004","0.0","-1.876","-9.3332","compressor_attack__0.166667.wav"
"0.25","0.25","7.4194","0.9015","0.0859","0.0121","0.0004","0.0","-1.9264","-9.3458","compressor_attack__0.250000.wav"
"0.3333333333333333","0.3333333432674408","7.4339","0.9016","0.0858","0.0122","0.0004","0.0","-1.9048","-9.3387","compressor_attack__0.333333.wav"
"0.4166666666666667","0.4166666567325592","7.4432","0.9017","0.0858","0.0122","0.0004","0.0","-1.9001","-9.3433","compressor_attack__0.416667.wav"
"0.5","0.5","7.4279","0.9018","0.0857","0.0121","0.0004","0.0","-1.9043","-9.3322","compressor_attack__0.500000.wav"
"0.5833333333333334","0.5833333134651184","7.4494","0.9021","0.0854","0.0121","0.0004","0.0","-1.886","-9.3354","compressor_attack__0.583333.wav"
"0.6666666666666666","0.6666666865348816","7.4496","0.9018","0.0857","0.0121","0.0004","0.0","-1.8776","-9.3271","compressor_attack__0.666667.wav"
"0.75","0.75","7.4447","0.9018","0.0857","0.0121","0.0004","0.0","-1.8857","-9.3304","compressor_attack__0.750000.wav"
"0.8333333333333334","0.8333333134651184","7.4704","0.9018","0.0857","0.0121","0.0004","0.0","-1.8701","-9.3405","compressor_attack__0.833333.wav"
"0.9166666666666666","0.9166666865348816","7.4102","0.9018","0.0857","0.0121","0.0004","0.0","-1.9112","-9.3214","compressor_attack__0.916667.wav"
"1.0","1.0","7.4368","0.902","0.0854","0.0121","0.0004","0.0","-1.8895","-9.3263","compressor_attack__1.000000.wav"
