"value_set","value_read","crest_db","sub_share","low_share","mid_share","high_share","air_share","peak_dbfs","rms_dbfs","wav"
"0.0","0.0","7.4579","0.9011","0.0862","0.0122","0.0004","0.0","-1.8858","-9.3436","compressor_knee__0.000000.wav"
"1.5","1.5","7.4682","0.9007","0.0866","0.0123","0.0004","0.0","-1.8898","-9.358","compressor_knee__1.500000.wav"
"3.0","3.0","7.4123","0.9002","0.087","0.0124","0.0004","0.0","-2.0039","-9.4162","compressor_knee__3.000000.wav"
"4.5","4.5","7.3817","0.8986","0.0884","0.0126","0.0004","0.0","-2.1448","-9.5265","compressor_knee__4.500000.wav"
"6.0","6.0","7.2013","0.8962","0.0905","0.0129","0.0004","0.0","-2.4667","-9.6681","compressor_knee__6.000000.wav"
"7.5","7.5","7.1704","0.8959","0.0907","0.013","0.0004","0.0","-2.6608","-9.8312","compressor_knee__7.500000.wav"
"9.0","9.0","7.132","0.8938","0.0926","0.0131","0.0004","0.0","-2.9015","-10.0335","compressor_knee__9.000000.wav"
"10.5","10.5","7.0768","0.8924","0.0938","0.0133","0.0004","0.0","-3.1821","-10.2588","compressor_knee__10.500000.wav"
"12.0","12.0","7.1489","0.8926","0.0936","0.0133","0.0004","0.0","-3.3145","-10.4634","compressor_knee__12.000000.wav"
"13.5","13.5","7.0287","0.8921","0.0941","0.0134","0.0004","0.0","-3.6804","-10.7091","compressor_knee__13.500000.wav"
"15.0","15.0","7.0789","0.8928","0.0933","0.0134","0.0004","0.0","-3.8494","-10.9283","compressor_knee__15.000000.wav"
"16.5","16.5","7.0083","0.8909","0.095","0.0137","0.0004","0.0","-4.1666","-11.175","compressor_knee__16.500000.wav"
"18.0","18.0","6.9845","0.8911","0.0949","0.0135","0.0004","0.0","-4.43","-11.4144","compressor_knee__18.000000.wav"
