"value_set","value_read","crest_db","sub_share","low_share","mid_share","high_share","air_share","peak_dbfs","rms_dbfs","wav"
"0.0","0.0","7.4551","0.9013","0.0861","0.0122","0.0004","0.0","-1.8814","-9.3366","compressor_ratio__0.000000.wav"
"0.08333333333333333","0.08333335816860199","7.4047","0.9021","0.0855","0.012","0.0004","0.0","-1.9362","-9.3408","compressor_ratio__0.083333.wav"
"0.16666666666666666","0.16666670143604279","7.4628","0.9008","0.0865","0.0123","0.0004","0.0","-1.8867","-9.3495","compressor_ratio__0.166667.wav"
"0.25","0.2500000298023224","7.4623","0.9013","0.086","0.0123","0.0004","0.0","-1.8824","-9.3447","compressor_ratio__0.250000.wav"
"0.3333333333333333","0.3333333730697632","7.4712","0.9022","0.0853","0.0121","0.0004","0.0","-1.8568","-9.328","compressor_ratio__0.333333.wav"
"0.4166666666666667","0.4166666269302368","7.4828","0.9003","0.087","0.0123","0.0004","0.0","-1.8722","-9.355","compressor_ratio__0.416667.wav"
"0.5","0.5","7.4564","0.9022","0.0853","0.0121","0.0004","0.0","-1.8769","-9.3333","compressor_ratio__0.500000.wav"
"0.5833333333333334","0.5833333134651184","7.4172","0.9015","0.086","0.0121","0.0004","0.0","-1.9284","-9.3455","compressor_ratio__0.583333.wav"
"0.6666666666666666","0.6666666865348816","7.4759","0.9014","0.086","0.0122","0.0004","0.0","-1.8629","-9.3388","compressor_ratio__0.666667.wav"
"0.75","0.75","7.4898","0.9022","0.0853","0.0122","0.0004","0.0","-1.8446","-9.3344","compressor_ratio__0.750000.wav"
"0.8333333333333334","0.8333333134651184","7.3986","0.901","0.0864","0.0122","0.0004","0.0","-1.9449","-9.3435","compressor_ratio__0.833333.wav"
"0.9166666666666666","0.9166666865348816","7.4642","0.9021","0.0854","0.0121","0.0004","0.0","-1.862","-9.3262","compressor_ratio__0.916667.wav"
"1.0","1.0","7.4625","0.9014","0.086","0.0122","0.0004","0.0","-1.8624","-9.3249","compressor_ratio__1.000000.wav"
