"value_set","value_read","crest_db","sub_share","low_share","mid_share","high_share","air_share","peak_dbfs","rms_dbfs","wav"
"0.0","0.0","7.4013","0.9019","0.0856","0.0121","0.0004","0.0","-1.9133","-9.3145","compressor_release__0.000000.wav"
"0.08333333333333333","0.0833333358168602","7.4454","0.9013","0.0862","0.0121","0.0004","0.0","-1.8915","-9.3369","compressor_release__0.083333.wav"
"0.16666666666666666","0.1666666716337204","7.4063","0.9021","0.0854","0.0121","0.0004","0.0","-1.9171","-9.3233","compressor_release__0.166667.wav"
"0.25","0.25","7.4572","0.9021","0.0854","0.0121","0.0004","0.0","-1.8643","-9.3214","compressor_release__0.250000.wav"
"0.3333333333333333","0.3333333432674408","7.492","0.901","0.0863","0.0122","0.0004","0.0","-1.8599","-9.3518","compressor_release__0.333333.wav"
"0.4166666666666667","0.4166666567325592","7.4447","0.9015","0.086","0.0121","0.0004","0.0","-1.8902","-9.3349","compressor_release__0.416667.wav"
"0.5","0.5","7.4081","0.9021","0.0854","0.0121","0.0004","0.0","-1.9185","-9.3267","compressor_release__0.500000.wav"
"0.5833333333333334","0.5833333134651184","7.4827","0.9015","0.086","0.0121","0.0004","0.0","-1.8554","-9.3381","compressor_release__0.583333.wav"
"0.6666666666666666","0.6666666865348816","7.4282","0.902","0.0854","0.0121","0.0004","0.0","-1.8993","-9.3276","compressor_release__0.666667.wav"
"0.75","0.75","7.4461","0.9016","0.0859","0.0121","0.0004","0.0","-1.889","-9.3351","compressor_release__0.750000.wav"
"0.8333333333333334","0.8333333134651184","7.4202","0.9015","0.0859","0.0121","0.0004","0.0","-1.9156","-9.3358","compressor_release__0.833333.wav"
"0.9166666666666666","0.9166666865348816","7.4597","0.9021","0.0854","0.0121","0.0004","0.0","-1.8648","-9.3245","compressor_release__0.916667.wav"
"1.0","1.0","7.4373","0.9014","0.0861","0.0121","0.0004","0.0","-1.9055","-9.3428","compressor_release__1.000000.wav"
