"value_set","value_read","crest_db","sub_share","low_share","mid_share","high_share","air_share","peak_dbfs","rms_dbfs","wav"
"0.0","0.0","17.7776","0.8733","0.1086","0.0175","0.0006","0.0","-32.3576","-50.1352","compressor_threshold__0.000000.wav"
"0.08333333333333333","0.0833333358168602","16.8218","0.873","0.1091","0.0173","0.0006","0.0","-20.8771","-37.6988","compressor_threshold__0.083333.wav"
"0.16666666666666666","0.1666666716337204","14.3625","0.8741","0.1084","0.0169","0.0006","0.0","-14.9035","-29.266","compressor_threshold__0.166667.wav"
"0.25","0.25","14.1198","0.8744","0.1085","0.0164","0.0006","0.0","-8.57","-22.6899","compressor_threshold__0.250000.wav"
"0.3333333333333333","0.3333333432674408","11.6515","0.8748","0.1085","0.0162","0.0005","0.0","-6.3035","-17.955","compressor_threshold__0.333333.wav"
"0.4166666666666667","0.4166666567325592","9.5245","0.8751","0.1085","0.0158","0.0005","0.0","-5.5087","-15.0333","compressor_threshold__0.416667.wav"
"0.5","0.5","7.3276","0.8749","0.1089","0.0157","0.0005","0.0","-5.5087","-12.8363","compressor_threshold__0.500000.wav"
"0.5833333333333334","0.5833333134651184","6.7112","0.8795","0.1049","0.015","0.0005","0.0","-3.9769","-10.6882","compressor_threshold__0.583333.wav"
"0.6666666666666666","0.6666666865348816","7.4761","0.8983","0.0888","0.0126","0.0004","0.0","-2.0297","-9.5059","compressor_threshold__0.666667.wav"
"0.75","0.75","7.4531","0.9017","0.0858","0.0121","0.0004","0.0","-1.8887","-9.3418","compressor_threshold__0.750000.wav"
"0.8333333333333334","0.8333333134651184","7.468","0.9016","0.0859","0.0121","0.0004","0.0","-1.8591","-9.3271","compressor_threshold__0.833333.wav"
"0.9166666666666666","0.9166666865348816","7.4647","0.9017","0.0857","0.0122","0.0004","0.0","-1.8792","-9.3439","compressor_threshold__0.916667.wav"
"1.0","1.0","7.4229","0.9021","0.0854","0.0121","0.0004","0.0","-1.8992","-9.3221","compressor_threshold__1.000000.wav"
