"value_set","value_read","crest_db","sub_share","low_share","mid_share","high_share","air_share","peak_dbfs","rms_dbfs","wav"
"0.0","0.0","7.4554","0.9019","0.0856","0.0121","0.0004","0.0","-1.8623","-9.3177","roar_blend__0.000000.wav"
"0.08333333333333333","0.0833333358168602","7.4972","0.9014","0.0861","0.0121","0.0004","0.0","-1.8428","-9.34","roar_blend__0.083333.wav"
"0.16666666666666666","0.1666666716337204","7.4302","0.9018","0.0857","0.0122","0.0004","0.0","-1.9065","-9.3367","roar_blend__0.166667.wav"
"0.25","0.25","7.414","0.901","0.0863","0.0122","0.0004","0.0","-1.9297","-9.3437","roar_blend__0.250000.wav"
"0.3333333333333333","0.3333333432674408","7.5038","0.9017","0.0858","0.0121","0.0004","0.0","-1.8361","-9.3399","roar_blend__0.333333.wav"
"0.4166666666666667","0.4166666567325592","7.4835","0.9012","0.0861","0.0122","0.0004","0.0","-1.8609","-9.3444","roar_blend__0.416667.wav"
"0.5","0.5","7.4474","0.9008","0.0865","0.0122","0.0004","0.0","-1.9037","-9.3511","roar_blend__0.500000.wav"
"0.5833333333333334","0.5833333134651184","7.4589","0.9014","0.086","0.0122","0.0004","0.0","-1.8812","-9.3401","roar_blend__0.583333.wav"
"0.6666666666666666","0.6666666865348816","7.4527","0.902","0.0855","0.0121","0.0004","0.0","-1.8886","-9.3413","roar_blend__0.666667.wav"
"0.75","0.75","7.3906","0.9015","0.086","0.0121","0.0004","0.0","-1.9488","-9.3395","roar_blend__0.750000.wav"
"0.8333333333333334","0.8333333134651184","7.4742","0.9021","0.0854","0.0121","0.0004","0.0","-1.853","-9.3273","roar_blend__0.833333.wav"
"0.9166666666666666","0.9166666865348816","7.4357","0.9014","0.0861","0.0121","0.0004","0.0","-1.8891","-9.3248","roar_blend__0.916667.wav"
"1.0","1.0","7.4181","0.9012","0.0862","0.0122","0.0004","0.0","-1.9247","-9.3428","roar_blend__1.000000.wav"
