"value_set","value_read","crest_db","sub_share","low_share","mid_share","high_share","air_share","peak_dbfs","rms_dbfs","wav"
"0.0","0.0","7.4738","0.9017","0.0856","0.0122","0.0004","0.0","-1.8647","-9.3386","roar_drive__0.000000.wav"
"0.08333333333333333","0.083333320915699","7.3984","0.9019","0.0856","0.0121","0.0004","0.0","-1.9418","-9.3403","roar_drive__0.083333.wav"
"0.16666666666666666","0.1666666716337204","7.4397","0.9011","0.0863","0.0122","0.0004","0.0","-1.9003","-9.3401","roar_drive__0.166667.wav"
"0.25","0.25","7.4701","0.9022","0.0852","0.0121","0.0004","0.0","-1.8637","-9.3338","roar_drive__0.250000.wav"
"0.3333333333333333","0.3333333432674408","7.4279","0.9017","0.0858","0.0121","0.0004","0.0","-1.9018","-9.3297","roar_drive__0.333333.wav"
"0.4166666666666667","0.4166666567325592","7.4353","0.902","0.0855","0.0121","0.0004","0.0","-1.8932","-9.3284","roar_drive__0.416667.wav"
"0.5","0.5","7.4301","0.9018","0.0857","0.0121","0.0004","0.0","-1.9045","-9.3346","roar_drive__0.500000.wav"
"0.5833333333333334","0.5833333730697632","7.4568","0.9019","0.0856","0.0121","0.0004","0.0","-1.8706","-9.3273","roar_drive__0.583333.wav"
"0.6666666666666666","0.6666666865348816","7.4541","0.9018","0.0857","0.0122","0.0004","0.0","-1.8853","-9.3394","roar_drive__0.666667.wav"
"0.75","0.75","7.4485","0.9017","0.0857","0.0121","0.0004","0.0","-1.8828","-9.3313","roar_drive__0.750000.wav"
"0.8333333333333334","0.8333333134651184","7.4313","0.9024","0.0851","0.0121","0.0004","0.0","-1.8882","-9.3196","roar_drive__0.833333.wav"
"0.9166666666666666","0.9166666269302368","7.4625","0.9004","0.0869","0.0122","0.0004","0.0","-1.886","-9.3485","roar_drive__0.916667.wav"
"1.0","1.0","7.4775","0.9021","0.0854","0.0121","0.0004","0.0","-1.8584","-9.3359","roar_drive__1.000000.wav"
