"value_set","value_read","crest_db","sub_share","low_share","mid_share","high_share","air_share","peak_dbfs","rms_dbfs","wav"
"0.0","0.0","7.4679","0.9018","0.0857","0.0121","0.0004","0.0","-1.8795","-9.3474","roar_shaper1_amt__0.000000.wav"
"0.08333333333333333","0.0833333358168602","7.4208","0.9016","0.0859","0.0121","0.0004","0.0","-1.9169","-9.3377","roar_shaper1_amt__0.083333.wav"
"0.16666666666666666","0.1666666716337204","7.5341","0.9007","0.0866","0.0122","0.0004","0.0","-1.8147","-9.3488","roar_shaper1_amt__0.166667.wav"
"0.25","0.25","7.4966","0.9021","0.0854","0.0121","0.0004","0.0","-1.8391","-9.3357","roar_shaper1_amt__0.250000.wav"
"0.3333333333333333","0.3333333432674408","7.4362","0.9016","0.0858","0.0121","0.0004","0.0","-1.8963","-9.3325","roar_shaper1_amt__0.333333.wav"
"0.4166666666666667","0.4166666567325592","7.4971","0.9018","0.0856","0.0121","0.0004","0.0","-1.8415","-9.3387","roar_shaper1_amt__0.416667.wav"
"0.5","0.5","7.3962","0.9009","0.0865","0.0122","0.0004","0.0","-1.9475","-9.3437","roar_shaper1_amt__0.500000.wav"
"0.5833333333333334","0.5833333134651184","7.4544","0.9018","0.0857","0.0121","0.0004","0.0","-1.8792","-9.3336","roar_shaper1_amt__0.583333.wav"
"0.6666666666666666","0.6666666865348816","7.4544","0.9017","0.0858","0.0121","0.0004","0.0","-1.8762","-9.3306","roar_shaper1_amt__0.666667.wav"
"0.75","0.75","7.4264","0.9016","0.0858","0.0122","0.0004","0.0","-1.9111","-9.3375","roar_shaper1_amt__0.750000.wav"
"0.8333333333333334","0.8333333134651184","7.4569","0.9015","0.0859","0.0122","0.0004","0.0","-1.8887","-9.3456","roar_shaper1_amt__0.833333.wav"
"0.9166666666666666","0.9166666865348816","7.4182","0.9019","0.0856","0.0121","0.0004","0.0","-1.9109","-9.3291","roar_shaper1_amt__0.916667.wav"
"1.0","1.0","7.4781","0.9019","0.0856","0.0121","0.0004","0.0","-1.8696","-9.3477","roar_shaper1_amt__1.000000.wav"
