"value_set","value_read","crest_db","sub_share","low_share","mid_share","high_share","air_share","peak_dbfs","rms_dbfs","wav"
"0.0","0.0","7.4537","0.9007","0.0867","0.0122","0.0004","0.0","-1.8855","-9.3391","roar_shaper1_bias__0.000000.wav"
"0.08333333333333333","0.0833333432674408","7.4071","0.902","0.0855","0.0121","0.0004","0.0","-1.9151","-9.3222","roar_shaper1_bias__0.083333.wav"
"0.16666666666666666","0.1666666865348816","7.4847","0.9016","0.0859","0.0121","0.0004","0.0","-1.8454","-9.3302","roar_shaper1_bias__0.166667.wav"
"0.25","0.25","7.4757","0.9015","0.0859","0.0123","0.0004","0.0","-1.8738","-9.3494","roar_shaper1_bias__0.250000.wav"
"0.3333333333333333","0.3333333432674408","7.4336","0.9013","0.0862","0.0121","0.0004","0.0","-1.9121","-9.3457","roar_shaper1_bias__0.333333.wav"
"0.4166666666666667","0.4166666567325592","7.4792","0.9018","0.0856","0.0121","0.0004","0.0","-1.8497","-9.3289","roar_shaper1_bias__0.416667.wav"
"0.5","0.5","7.4442","0.9007","0.0867","0.0122","0.0004","0.0","-1.9101","-9.3543","roar_shaper1_bias__0.500000.wav"
"0.5833333333333334","0.5833333134651184","7.4571","0.9014","0.0861","0.0121","0.0004","0.0","-1.8793","-9.3365","roar_shaper1_bias__0.583333.wav"
"0.6666666666666666","0.6666666865348816","7.4934","0.9017","0.0856","0.0123","0.0004","0.0","-1.8562","-9.3496","roar_shaper1_bias__0.666667.wav"
"0.75","0.75","7.461","0.9017","0.0858","0.0121","0.0004","0.0","-1.8764","-9.3374","roar_shaper1_bias__0.750000.wav"
"0.8333333333333334","0.8333333134651184","7.5159","0.9014","0.0861","0.0121","0.0004","0.0","-1.822","-9.3378","roar_shaper1_bias__0.833333.wav"
"0.9166666666666666","0.9166666865348816","7.4554","0.9017","0.0858","0.0121","0.0004","0.0","-1.8879","-9.3433","roar_shaper1_bias__0.916667.wav"
"1.0","1.0","7.4426","0.9018","0.0857","0.0121","0.0004","0.0","-1.8899","-9.3325","roar_shaper1_bias__1.000000.wav"
