"value_set","value_read","crest_db","sub_share","low_share","mid_share","high_share","air_share","peak_dbfs","rms_dbfs","wav"
"0.0","0.0","7.3989","0.9014","0.0861","0.0121","0.0004","0.0","-1.9486","-9.3474","roar_tone_amt__0.000000.wav"
"0.08333333333333333","0.0833333432674408","7.4778","0.9019","0.0856","0.0121","0.0004","0.0","-1.8539","-9.3316","roar_tone_amt__0.083333.wav"
"0.16666666666666666","0.1666666865348816","7.4935","0.9016","0.0859","0.0121","0.0004","0.0","-1.8494","-9.3429","roar_tone_amt__0.166667.wav"
"0.25","0.25","7.4526","0.9021","0.0854","0.0121","0.0004","0.0","-1.8782","-9.3308","roar_tone_amt__0.250000.wav"
"0.3333333333333333","0.3333333432674408","7.4799","0.9018","0.0857","0.0121","0.0004","0.0","-1.8471","-9.327","roar_tone_amt__0.333333.wav"
"0.4166666666666667","0.4166666567325592","7.446","0.9019","0.0856","0.0121","0.0004","0.0","-1.8898","-9.3358","roar_tone_amt__0.416667.wav"
"0.5","0.5","7.4883","0.9019","0.0856","0.0121","0.0004","0.0","-1.8381","-9.3264","roar_tone_amt__0.500000.wav"
"0.5833333333333334","0.5833333134651184","7.471","0.9014","0.0859","0.0123","0.0004","0.0","-1.8809","-9.3519","roar_tone_amt__0.583333.wav"
"0.6666666666666666","0.6666666865348816","7.4593","0.9009","0.0864","0.0122","0.0004","0.0","-1.8886","-9.3479","roar_tone_amt__0.666667.wav"
"0.75","0.75","7.4252","0.9021","0.0855","0.0121","0.0004","0.0","-1.8995","-9.3247","roar_tone_amt__0.750000.wav"
"0.8333333333333334","0.8333333134651184","7.4728","0.9017","0.0858","0.0121","0.0004","0.0","-1.8705","-9.3433","roar_tone_amt__0.833333.wav"
"0.9166666666666666","0.9166666865348816","7.492","0.9019","0.0856","0.0121","0.0004","0.0","-1.8319","-9.324","roar_tone_amt__0.916667.wav"
"1.0","1.0","7.4307","0.9016","0.0859","0.0121","0.0004","0.0","-1.9163","-9.347","roar_tone_amt__1.000000.wav"
