"label","value_set","value_read","crest_db","sub_share","low_share","mid_share","high_share","air_share","peak_dbfs","rms_dbfs","wav"
"operating point 0.4, not Anthony's setting","0.0","0.0","9.9966","0.8747","0.1088","0.016","0.0005","0.0","-5.5087","-15.5053","compressor_attack_thr040__0.000000.wav"
"operating point 0.4, not Anthony's setting","0.08333333333333333","0.0833333358168602","9.9836","0.8748","0.1087","0.0159","0.0005","0.0","-5.5087","-15.4923","compressor_attack_thr040__0.083333.wav"
"operating point 0.4, not Anthony's setting","0.16666666666666666","0.1666666716337204","9.9989","0.8746","0.1088","0.016","0.0005","0.0","-5.5087","-15.5076","compressor_attack_thr040__0.166667.wav"
"operating point 0.4, not Anthony's setting","0.25","0.25","9.9721","0.874","0.1095","0.0159","0.0005","0.0","-5.5087","-15.4808","compressor_attack_thr040__0.250000.wav"
"operating point 0.4, not Anthony's setting","0.3333333333333333","0.3333333432674408","9.9661","0.8749","0.1087","0.0159","0.0005","0.0","-5.5088","-15.4749","compressor_attack_thr040__0.333333.wav"
"operating point 0.4, not Anthony's setting","0.4166666666666667","0.4166666567325592","9.9248","0.8759","0.1078","0.0158","0.0005","0.0","-5.5087","-15.4336","compressor_attack_thr040__0.416667.wav"
"operating point 0.4, not Anthony's setting","0.5","0.5","9.8692","0.8749","0.1088","0.0157","0.0005","0.0","-5.5087","-15.3779","compressor_attack_thr040__0.500000.wav"
"operating point 0.4, not Anthony's setting","0.5833333333333334","0.5833333134651184","9.7716","0.8771","0.1069","0.0155","0.0005","0.0","-5.5088","-15.2804","compressor_attack_thr040__0.583333.wav"
"operating point 0.4, not Anthony's setting","0.6666666666666666","0.6666666865348816","9.559","0.8782","0.1061","0.0151","0.0005","0.0","-5.5087","-15.0677","compressor_attack_thr040__0.666667.wav"
"operating point 0.4, not Anthony's setting","0.75","0.75","9.1757","0.8853","0.0999","0.0143","0.0005","0.0","-5.5087","-14.6845","compressor_attack_thr040__0.750000.wav"
"operating point 0.4, not Anthony's setting","0.8333333333333334","0.8333333134651184","9.1766","0.8912","0.0947","0.0136","0.0004","0.0","-5.0056","-14.1823","compressor_attack_thr040__0.833333.wav"
"operating point 0.4, not Anthony's setting","0.9166666666666666","0.9166666865348816","9.884","0.8965","0.0901","0.013","0.0004","0.0","-3.8216","-13.7057","compressor_attack_thr040__0.916667.wav"
"operating point 0.4, not Anthony's setting","1.0","1.0","10.3666","0.8988","0.0882","0.0126","0.0004","0.0","-2.9118","-13.2785","compressor_attack_thr040__1.000000.wav"
