"label","value_set","value_read","crest_db","sub_share","low_share","mid_share","high_share","air_share","peak_dbfs","rms_dbfs","wav"
"operating point 0.4, not Anthony's setting","0.0","0.0","7.5166","0.9012","0.0862","0.0122","0.0004","0.0","-1.8349","-9.3515","compressor_ratio_thr040__0.000000.wav"
"operating point 0.4, not Anthony's setting","0.08333333333333333","0.08333335816860199","7.2877","0.8981","0.0889","0.0126","0.0004","0.0","-2.8437","-10.1314","compressor_ratio_thr040__0.083333.wav"
"operating point 0.4, not Anthony's setting","0.16666666666666666","0.16666670143604279","7.1906","0.8952","0.0914","0.013","0.0004","0.0","-3.7054","-10.896","compressor_ratio_thr040__0.166667.wav"
"operating point 0.4, not Anthony's setting","0.25","0.2500000298023224","7.0739","0.8922","0.0939","0.0134","0.0004","0.0","-4.6051","-11.679","compressor_ratio_thr040__0.250000.wav"
"operating point 0.4, not Anthony's setting","0.3333333333333333","0.3333333730697632","6.9564","0.889","0.0966","0.0139","0.0005","0.0","-5.5087","-12.4651","compressor_ratio_thr040__0.333333.wav"
"operating point 0.4, not Anthony's setting","0.4166666666666667","0.4166666269302368","7.7172","0.8854","0.0997","0.0144","0.0005","0.0","-5.5087","-13.2259","compressor_ratio_thr040__0.416667.wav"
"operating point 0.4, not Anthony's setting","0.5","0.5","8.4747","0.8824","0.1022","0.0149","0.0005","0.0","-5.5087","-13.9834","compressor_ratio_thr040__0.500000.wav"
"operating point 0.4, not Anthony's setting","0.5833333333333334","0.5833333134651184","9.248","0.8777","0.1063","0.0154","0.0005","0.0","-5.5087","-14.7567","compressor_ratio_thr040__0.583333.wav"
"operating point 0.4, not Anthony's setting","0.6666666666666666","0.6666666865348816","9.9868","0.8752","0.1083","0.0159","0.0005","0.0","-5.5087","-15.4955","compressor_ratio_thr040__0.666667.wav"
"operating point 0.4, not Anthony's setting","0.75","0.75","10.7378","0.8705","0.1124","0.0165","0.0005","0.0","-5.5087","-16.2465","compressor_ratio_thr040__0.750000.wav"
"operating point 0.4, not Anthony's setting","0.8333333333333334","0.8333333134651184","11.465","0.8671","0.1152","0.017","0.0006","0.0","-5.5087","-16.9737","compressor_ratio_thr040__0.833333.wav"
"operating point 0.4, not Anthony's setting","0.9166666666666666","0.9166666865348816","12.1977","0.8632","0.1182","0.018","0.0006","0.0","-5.5088","-17.7065","compressor_ratio_thr040__0.916667.wav"
"operating point 0.4, not Anthony's setting","1.0","1.0","12.933","0.8605","0.1207","0.0182","0.0006","0.0","-5.5088","-18.4418","compressor_ratio_thr040__1.000000.wav"
