"label","value_set","value_read","crest_db","sub_share","low_share","mid_share","high_share","air_share","peak_dbfs","rms_dbfs","wav"
"operating point 0.4, not Anthony's setting","0.0","0.0","9.952","0.8747","0.1088","0.016","0.0005","0.0","-5.5087","-15.4608","compressor_release_thr040__0.000000.wav"
"operating point 0.4, not Anthony's setting","0.08333333333333333","0.0833333358168602","10.0681","0.8754","0.1083","0.0157","0.0005","0.0","-5.5087","-15.5768","compressor_release_thr040__0.083333.wav"
"operating point 0.4, not Anthony's setting","0.16666666666666666","0.1666666716337204","10.2181","0.8804","0.1039","0.0152","0.0005","0.0","-5.5088","-15.7268","compressor_release_thr040__0.166667.wav"
"operating point 0.4, not Anthony's setting","0.25","0.25","10.4509","0.8829","0.1015","0.0151","0.0005","0.0","-5.5087","-15.9595","compressor_release_thr040__0.250000.wav"
"operating point 0.4, not Anthony's setting","0.3333333333333333","0.3333333432674408","10.6616","0.8844","0.1002","0.0149","0.0005","0.0","-5.5087","-16.1703","compressor_release_thr040__0.333333.wav"
"operating point 0.4, not Anthony's setting","0.4166666666666667","0.4166666567325592","10.9087","0.8902","0.0953","0.0141","0.0004","0.0","-5.5087","-16.4174","compressor_release_thr040__0.416667.wav"
"operating point 0.4, not Anthony's setting","0.5","0.5","11.095","0.8933","0.0927","0.0136","0.0004","0.0","-5.509","-16.604","compressor_release_thr040__0.500000.wav"
"operating point 0.4, not Anthony's setting","0.5833333333333334","0.5833333134651184","11.2201","0.896","0.0903","0.0133","0.0004","0.0","-5.5195","-16.7396","compressor_release_thr040__0.583333.wav"
"operating point 0.4, not Anthony's setting","0.6666666666666666","0.6666666865348816","11.2335","0.8963","0.0901","0.0132","0.0004","0.0","-5.6216","-16.8552","compressor_release_thr040__0.666667.wav"
"operating point 0.4, not Anthony's setting","0.75","0.75","11.0829","0.8969","0.0896","0.0131","0.0004","0.0","-5.8512","-16.9341","compressor_release_thr040__0.750000.wav"
"operating point 0.4, not Anthony's setting","0.8333333333333334","0.8333333134651184","10.7","0.8977","0.089","0.0129","0.0004","0.0","-6.2871","-16.9871","compressor_release_thr040__0.833333.wav"
"operating point 0.4, not Anthony's setting","0.9166666666666666","0.9166666865348816","10.268","0.8989","0.0879","0.0127","0.0004","0.0","-6.749","-17.017","compressor_release_thr040__0.916667.wav"
"operating point 0.4, not Anthony's setting","1.0","1.0","9.5636","0.8987","0.0883","0.0126","0.0004","0.0","-7.4903","-17.0539","compressor_release_thr040__1.000000.wav"
