"value_set","value_read","crest_db","sub_share","low_share","mid_share","high_share","air_share","peak_dbfs","rms_dbfs","wav"
"0.0","0.0","7.436","0.7671","0.1973","0.0331","0.0025","0.0001","-0.653","-8.0891","roar_blend_on__0.000000.wav"
"0.08333333333333333","0.0833333358168602","7.434","0.7667","0.1977","0.033","0.0025","0.0001","-0.6569","-8.091","roar_blend_on__0.083333.wav"
"0.16666666666666666","0.1666666716337204","7.4487","0.7671","0.1976","0.0328","0.0025","0.0001","-0.6457","-8.0944","roar_blend_on__0.166667.wav"
"0.25","0.25","7.4334","0.7659","0.1986","0.033","0.0025","0.0001","-0.6604","-8.0938","roar_blend_on__0.250000.wav"
"0.3333333333333333","0.3333333432674408","7.4475","0.7679","0.1967","0.0329","0.0025","0.0001","-0.6461","-8.0936","roar_blend_on__0.333333.wav"
"0.4166666666666667","0.4166666567325592","7.4315","0.7662","0.1984","0.0328","0.0025","0.0001","-0.6647","-8.0962","roar_blend_on__0.416667.wav"
"0.5","0.5","7.4382","0.7667","0.1977","0.033","0.0025","0.0001","-0.6527","-8.0909","roar_blend_on__0.500000.wav"
"0.5833333333333334","0.5833333134651184","7.4547","0.7664","0.198","0.033","0.0025","0.0001","-0.6413","-8.096","roar_blend_on__0.583333.wav"
"0.6666666666666666","0.6666666865348816","7.4483","0.7677","0.197","0.0328","0.0025","0.0001","-0.6389","-8.0872","roar_blend_on__0.666667.wav"
"0.75","0.75","7.4143","0.7665","0.198","0.033","0.0025","0.0001","-0.6749","-8.0892","roar_blend_on__0.750000.wav"
"0.8333333333333334","0.8333333134651184","7.4408","0.7669","0.1976","0.033","0.0025","0.0001","-0.6483","-8.0891","roar_blend_on__0.833333.wav"
"0.9166666666666666","0.9166666865348816","7.4355","0.7668","0.1977","0.0329","0.0025","0.0001","-0.6567","-8.0922","roar_blend_on__0.916667.wav"
"1.0","1.0","7.4434","0.7664","0.1978","0.0332","0.0025","0.0001","-0.6585","-8.102","roar_blend_on__1.000000.wav"
