"value_set","value_read","crest_db","sub_share","low_share","mid_share","high_share","air_share","peak_dbfs","rms_dbfs","wav"
"0.0","0.0","8.45","0.7484","0.2225","0.0282","0.0009","0.0","-12.7291","-21.1791","roar_drive_on__0.000000.wav"
"0.08333333333333333","0.083333320915699","8.4198","0.7453","0.2247","0.0291","0.0009","0.0","-10.8308","-19.2506","roar_drive_on__0.083333.wav"
"0.16666666666666666","0.1666666716337204","8.33","0.7438","0.2252","0.03","0.001","0.0","-8.9664","-17.2965","roar_drive_on__0.166667.wav"
"0.25","0.25","8.3623","0.7403","0.2267","0.0318","0.0013","0.0","-7.0213","-15.3837","roar_drive_on__0.250000.wav"
"0.3333333333333333","0.3333333432674408","8.2458","0.7373","0.2276","0.0336","0.0016","0.0","-5.2241","-13.4699","roar_drive_on__0.333333.wav"
"0.4166666666666667","0.4166666567325592","8.2597","0.7398","0.2239","0.0344","0.0019","0.0","-3.3168","-11.5765","roar_drive_on__0.416667.wav"
"0.5","0.5","8.0303","0.7504","0.2133","0.0341","0.0021","0.0001","-1.7859","-9.8161","roar_drive_on__0.500000.wav"
"0.5833333333333334","0.5833333730697632","7.5434","0.7645","0.1999","0.0331","0.0024","0.0001","-0.8244","-8.3678","roar_drive_on__0.583333.wav"
"0.6666666666666666","0.6666666865348816","6.9356","0.7739","0.1909","0.0325","0.0027","0.0001","-0.4205","-7.356","roar_drive_on__0.666667.wav"
"0.75","0.75","6.3356","0.7842","0.1814","0.0315","0.0029","0.0001","-0.3173","-6.653","roar_drive_on__0.750000.wav"
"0.8333333333333334","0.8333333134651184","6.1177","0.7838","0.1816","0.0313","0.0032","0.0001","-0.2289","-6.3466","roar_drive_on__0.833333.wav"
"0.9166666666666666","0.9166666269302368","6.3525","0.7654","0.1965","0.0342","0.0038","0.0001","-0.0209","-6.3733","roar_drive_on__0.916667.wav"
"1.0","1.0","6.6933","0.7323","0.2191","0.0436","0.0049","0.0001","0.0","-6.6933","roar_drive_on__1.000000.wav"
