"value_set","value_read","crest_db","sub_share","low_share","mid_share","high_share","air_share","peak_dbfs","rms_dbfs","wav"
"0.0","0.0","7.4298","0.7674","0.1978","0.0327","0.0021","0.0001","-0.618","-8.0478","roar_tone_amt_on__0.000000.wav"
"0.08333333333333333","0.0833333432674408","7.4363","0.7657","0.1994","0.0326","0.0022","0.0001","-0.6229","-8.0591","roar_tone_amt_on__0.083333.wav"
"0.16666666666666666","0.1666666865348816","7.4624","0.7659","0.1986","0.0331","0.0023","0.0001","-0.6189","-8.0813","roar_tone_amt_on__0.166667.wav"
"0.25","0.25","7.4334","0.7674","0.1972","0.0328","0.0025","0.0001","-0.6461","-8.0794","roar_tone_amt_on__0.250000.wav"
"0.3333333333333333","0.3333333432674408","7.4275","0.7665","0.1978","0.0331","0.0026","0.0001","-0.688","-8.1155","roar_tone_amt_on__0.333333.wav"
"0.4166666666666667","0.4166666567325592","7.441","0.7659","0.1978","0.0335","0.0027","0.0001","-0.699","-8.14","roar_tone_amt_on__0.416667.wav"
"0.5","0.5","7.4335","0.765","0.1987","0.0336","0.0027","0.0001","-0.7401","-8.1736","roar_tone_amt_on__0.500000.wav"
"0.5833333333333334","0.5833333134651184","7.4182","0.7615","0.2016","0.0341","0.0028","0.0001","-0.8332","-8.2514","roar_tone_amt_on__0.583333.wav"
"0.6666666666666666","0.6666666865348816","7.4622","0.7562","0.2058","0.035","0.0029","0.0001","-0.8878","-8.35","roar_tone_amt_on__0.666667.wav"
"0.75","0.75","7.5104","0.7503","0.2103","0.0363","0.003","0.0001","-0.9852","-8.4956","roar_tone_amt_on__0.750000.wav"
"0.8333333333333334","0.8333333134651184","7.6217","0.7389","0.2197","0.038","0.0032","0.0001","-1.087","-8.7087","roar_tone_amt_on__0.833333.wav"
"0.9166666666666666","0.9166666865348816","7.7704","0.722","0.2331","0.0413","0.0035","0.0001","-1.2648","-9.0351","roar_tone_amt_on__0.916667.wav"
"1.0","1.0","7.9201","0.7015","0.2499","0.0447","0.0038","0.0001","-1.4789","-9.399","roar_tone_amt_on__1.000000.wav"
